"Status","DaysEnrollToStart","Campus1","Campus2","ProgramVersionBSDH2017","ProgramVersionBSN2013","ProgramVersionBSN2015","DaysLeadToEnroll","GenderFemale","MaritalStatusDivorced","MaritalStatusMarried","MaritalStatusSeparated","MaritalStatusSingle","MaritalStatusWidowed","AgeAtLead","IsVeteran1","IsHispanic1","FinancialAidAdvisorID1"
"0",48,1,0,0,0,1,195,1,0,0,0,1,0,23,0,0,1
"0",130,1,0,0,0,1,335,1,0,0,0,1,0,18,0,0,1
"1",73,0,0,0,0,1,-1,0,0,0,0,1,0,18,0,0,1
"0",126,0,0,0,0,1,116,1,0,1,0,0,0,23,0,0,1
"0",103,0,0,0,0,1,130,1,0,0,0,1,0,21,0,1,1
"1",34,1,0,0,0,1,-1,0,0,0,0,1,0,24,0,0,1
"1",48,1,0,0,0,0,-1,1,0,1,0,0,0,29,0,0,1
"0",105,0,1,0,0,1,-1,1,0,0,0,1,0,20,0,0,1
"1",109,0,0,0,0,0,-1,1,0,1,0,0,0,26,0,0,0
"0",130,0,0,0,0,1,55,1,0,0,0,1,0,19,0,0,1
"0",53,0,0,0,0,1,-1,1,0,0,0,1,0,22,0,0,1
"0",104,0,0,0,0,1,49,1,0,0,0,1,0,22,0,0,1
"0",802,1,0,0,0,0,196,1,0,1,0,0,0,30,0,0,1
"0",98,0,1,0,0,1,20,0,0,0,0,1,0,25,0,0,1
"0",108,1,0,0,0,0,904,1,0,1,0,0,0,30,0,0,1
"0",70,0,0,0,0,0,-1,1,0,0,0,1,0,33,0,1,1
"0",82,0,0,0,0,1,1034,1,0,0,0,1,0,24,0,0,1
"0",74,0,1,0,0,0,1718,1,0,0,0,1,0,24,0,0,1
"1",101,0,0,0,0,1,-1,1,0,0,0,1,0,23,0,0,1
"0",87,1,0,0,0,0,57,1,0,0,0,1,0,25,0,1,1
"1",61,1,0,0,0,1,0,1,0,1,0,0,0,23,0,0,1
"0",77,1,0,0,0,1,9,1,0,1,0,0,0,36,1,0,1
"0",130,0,0,0,0,0,12,1,0,0,0,1,0,24,0,0,1
"1",83,0,1,0,0,1,1152,1,0,0,0,1,0,20,0,1,1
"1",91,1,0,0,0,1,647,0,0,0,0,1,0,27,0,1,1
"1",75,1,0,0,0,1,351,1,0,0,0,1,0,22,0,0,1
"0",131,0,1,0,0,1,-1,1,0,0,0,1,0,28,0,0,1
"0",103,0,0,0,0,0,515,1,0,0,0,1,0,30,0,0,1
"1",67,0,0,0,0,1,0,0,0,0,0,1,0,25,0,1,1
"1",74,1,0,0,0,1,882,1,0,0,0,1,0,21,0,1,1
"1",110,0,1,0,0,1,-1,1,0,0,0,1,0,34,0,1,1
"0",118,0,0,0,0,1,14,1,0,0,0,1,0,28,0,0,1
"0",122,0,1,0,0,1,76,1,0,0,0,1,0,22,0,1,1
"1",123,0,1,0,0,1,-1,0,0,0,0,1,0,19,0,0,1
"0",80,1,0,0,0,1,0,1,0,0,0,1,0,24,0,0,1
"1",126,1,0,0,0,0,0,1,1,0,0,0,0,28,0,0,1
"1",67,0,1,0,0,1,335,1,0,0,0,1,0,23,0,0,1
"1",56,0,1,0,0,1,7,1,0,0,0,1,0,17,0,0,1
"1",63,1,0,0,0,1,1846,1,0,0,0,1,0,25,0,0,1
"1",137,0,1,0,0,1,-1,0,0,0,0,0,0,20,0,1,0
"0",19,1,0,0,0,1,2505,0,0,0,0,1,0,20,0,0,1
"1",111,0,1,0,0,1,24,1,0,0,0,0,0,22,0,0,0
"0",94,0,0,0,0,1,57,0,0,0,0,0,0,26,0,0,1
"0",83,0,0,0,0,1,55,0,0,0,0,1,0,27,0,1,1
"0",19,1,0,0,0,1,-1,0,0,0,0,1,0,23,1,0,1
"0",52,1,0,0,0,1,300,1,0,0,0,1,0,19,0,0,1
"0",119,0,1,0,0,1,-1,1,0,0,0,1,0,24,0,0,1
"1",14,0,0,1,0,0,293,1,0,0,0,1,0,20,0,1,1
"0",129,1,0,0,0,1,71,1,0,0,0,1,0,22,0,0,1
"0",102,0,1,0,0,1,7,0,0,0,0,1,0,26,0,0,1
"1",87,0,1,0,0,1,-1,1,0,1,0,0,0,39,0,1,1
"0",84,0,0,0,0,1,-1,1,0,0,0,1,0,23,0,1,1
"0",151,0,1,0,0,1,-1,0,0,0,0,1,0,20,0,0,1
"1",143,0,0,0,0,1,16,1,0,0,0,0,0,21,0,0,1
"0",104,0,1,0,0,1,-1,1,0,0,0,1,0,30,0,0,1
"0",45,1,0,0,0,1,-1,1,0,0,0,1,0,21,0,0,1
"1",91,1,0,0,0,1,156,0,0,0,0,1,0,28,0,1,1
"1",122,1,0,0,0,1,2690,1,0,0,0,1,0,21,0,1,1
"0",123,0,1,0,0,1,97,0,0,0,0,1,0,20,0,1,1
"0",117,0,0,0,0,1,-1,1,0,0,0,1,0,23,0,0,1
"1",56,0,1,0,0,1,-1,1,0,0,0,1,0,31,0,1,0
"0",53,0,1,0,0,0,1939,1,0,0,0,0,0,28,0,1,1
"0",77,1,0,0,0,1,98,1,0,0,0,1,0,23,0,1,1
"1",68,0,0,0,0,0,428,1,0,1,0,0,0,41,0,1,1
"0",109,0,0,0,0,1,-1,1,0,0,0,0,0,20,0,0,1
"0",94,1,0,0,0,1,116,1,0,1,0,0,0,23,0,1,1
"1",125,1,0,0,0,1,5,1,0,0,0,1,0,18,0,1,1
"0",101,0,1,0,0,1,-1,0,0,0,0,1,0,28,0,0,1
"0",150,0,1,0,0,1,17,1,0,0,0,1,0,21,0,0,1
"1",66,1,0,0,0,1,364,0,0,0,0,1,0,23,0,0,0
"1",145,0,0,0,0,1,232,1,0,0,0,0,0,36,0,1,0
"1",98,0,1,0,0,0,945,1,1,0,0,0,0,44,0,0,1
"0",108,0,1,0,0,1,43,1,0,0,0,1,0,22,0,0,1
"0",131,0,1,0,0,1,6,1,0,0,0,1,0,22,0,0,1
"1",84,1,0,0,0,1,80,1,0,0,0,1,0,20,0,1,1
"0",89,0,0,0,0,1,0,1,0,0,0,1,0,23,0,0,1
"1",108,0,0,0,0,1,0,1,0,0,0,1,0,26,0,1,1
"1",81,1,0,0,0,1,0,1,0,0,0,1,0,22,0,1,1
"0",286,0,1,0,0,1,-1,1,0,0,0,1,0,21,0,0,1
"1",77,0,1,0,0,1,-1,1,0,1,0,0,0,30,0,0,1
